symbol,dhan_security_id,name,mcap_inr,cmp
BLUEDART,495,Blue Dart Express,120447746048.0,5076.2
BLUEJET,19686,Blue Jet Healthcare,104348123136.0,601.55
BLUESTONE,759291,BlueStone Jewellery & Lifestyle,117048295424.0,768.0
BLUSPRING,757520,Bluspring Enterprises,16353326080.0,109.43
BOMDYEING,513,Bombay Dyeing,25029963776.0,121.19
BOROLTD,19401,Borosil,27875876864.0,233.1
BORORENEW,3149,Borosil Renewables,80643702784.0,573.6
BOROSCI,24014,BOROSCI,13964686336.0,157.0
BOSCH-HCIL,4491,Bosch Home Comfort,35674439680.0,1312.0
BRIGADE,15184,Brigade Enterprises,183792500736.0,563.5
BRIGHOTEL,757794,Brigade Hotel Ventures,22767763456.0,59.94
BSOFT,6994,Birlasoft,87172907008.0,311.8
BUILDPRO,760594,Shankara Buildpro,29778171904.0,1228.0
BUTTERFLY,2716,Butterfly Gandhimathi Appliances,13047603200.0,729.75
CAMLINFINE,6216,Camlin Fine Sciences,24896995328.0,129.61
CAMPUS,9362,Campus Activewear,68475310080.0,224.01
CANHLIFE,759477,Canara HSBC Life Insurance Company,139289755648.0,147.01
CANTABIL,20160,Cantabil Retail,19906689024.0,238.01
CAPACITE,21749,Capacite Infraprojects,18502903808.0,218.7
CAPILLARY,759867,Capillary Technologies,41937367040.0,527.7
CAPITALSFB,22675,Capital Small Finance Bank,13557718016.0,298.2
CAPLIPOINT,3906,Caplin Point Laboratories,197638012928.0,2600.1
CARBORUNIV,595,Carborundum Universal,201599287296.0,1058.3
CARERATING,29113,CARE Ratings,50793119744.0,1688.2
CARRARO,28879,Carraro,30245017600.0,532.0
CARTRADE,5407,CarTrade Tech,136778596352.0,2830.3
CARYSIL,1879,CARYSIL,33511077888.0,1178.2
CASTROLIND,1250,Castrol,183037100032.0,185.05
CCAVENUE,16249,AvenuesAI,57993785344.0,16.66
CCL,11452,CCL Products,160397361152.0,1203.0
CEATLTD,15254,CEAT,139269668864.0,3443.0
CEIGALL,24742,Ceigall India,58132164608.0,333.7
CEINSYS,761037,Ceinsys Tech,17880762368.0,854.0
CELLO,19795,Cello World,76172206080.0,344.85
CEMPRO,5622,Cemindia Projects,227567009792.0,1324.7
CENTENKA,619,Century Enka,13459961856.0,616.0
CENTRALBK,14894,Central Bank of India,282132185088.0,31.17
CENTRUM,2454,Centrum Capital,11222100992.0,23.65
CENTUM,14982,Centum Electronics,52554551296.0,3565.2
CENTURYPLY,13305,Century Plyboards,174172520448.0,783.95
CERA,15039,Cera Sanitaryware,79607136256.0,6173.5
CESC,628,CESC,217512853504.0,164.09
CGCL,20329,Capri Global Capital,218485932032.0,227.08
CHAMBLFERT,637,Chambal Fertilisers & Chemicals,180794343424.0,451.25
CHEMPLASTS,5449,Chemplast Sanmar,32404555776.0,204.95
CHENNPETRO,2049,Chennai Petroleum Corporation,180927348736.0,1215.0
CHOLAHLDNG,21740,Cholamandalam Financial Holdings,284764504064.0,1516.5
CIEINDIA,14937,CIE Automotive,157700947968.0,415.7
CLEAN,5049,Clean Science & Technology,78346166272.0,737.15
CLEANMAX,760183,Clean Max Enviro Energy Solutions,155527987200.0,1328.4
CLSEL,3482,Chaman Lal Setia Exports,13858531328.0,278.7
CMSINFO,7603,CMS Info Systems,44449611776.0,277.7
CNL,11155,Creative Newtech,14901046272.0,992.3
COHANCE,17945,Cohance Lifesciences,165320310784.0,432.1
CONCORDBIO,18060,Concord Biotech,138334011392.0,1322.3
CORDELIA,762163,Waterways Leisure Tourism,58292088832.0,805.2
COSMOFIRST,742,Cosmo First,22997628928.0,885.95
CPPLUS,758858,Aditya Infotech,402647973888.0,3416.6
CRAFTSMAN,2854,Craftsman Automation,257084981248.0,9829.5
CRAMC,759311,Canara Robeco Asset Management Company,52319154176.0,262.36
CREDITACC,4421,Credit Access Grameen,254151000064.0,1586.5
CREST,13900,Crest Ventures,10553401344.0,373.35
CRISIL,757,CRISIL,325157978112.0,4446.3
CRIZAC,757850,Crizac,33446154240.0,191.14
CSBBANK,14966,CSB Bank,56419086336.0,332.9
CUPID,18520,Cupid,314314457088.0,233.75
CYIENTDLM,17187,Cyient DLM,53928108032.0,679.5
DALMIASUG,781,Dalmia Bharat Sugar & Industries,29057210368.0,359.0
DAMCAPITAL,28662,DAM Capital Advisors,10934417408.0,154.69
DATAMATICS,11423,Datamatics Global Services,49879883776.0,843.9
DATAPATTNS,7358,Data Patterns,247118839808.0,4414.1
DBCORP,17881,DB Corp,37611737088.0,211.0
DBL,18086,Dilip Buildcon,70241140736.0,432.4
DCAL,21704,Dishman Carbogen Amcis,29563019264.0,188.56
DCBBANK,13725,DCB Bank,61996687360.0,192.49
DCMSHRIRAM,811,DCM Shriram Consolidated,164966842368.0,1065.3
DCW,817,DCW,13792592896.0,46.73
DCXINDIA,11895,DCX Systems,20057354240.0,180.07
DDEVPLSTIK,29098,Ddev Plastiks Industries,28352606208.0,274.0
DEEPAKFERT,827,Deepak Fertilisers & Petrochemicals,207479242752.0,1641.9
DEEPAKNTR,19943,Deepak Nitrite,228553818112.0,1675.7
DEEPINDS,3292,Deep Industries,35059200000.0,547.8
DELTACORP,15044,Delta Corp,16861546496.0,62.97
DEN,17722,Den Networks,13091991552.0,27.46
DEVYANI,5373,Devyani International,146288312320.0,118.65
DHANBANK,11359,Dhanlaxmi Bank,12725091328.0,32.24
DHANUKA,24409,Dhanuka Agritech,45202419712.0,1014.0
DIACABS,18543,Diamond Power Infrastructure,177826398208.0,337.45
DIAMONDYD,21840,Prataap Snacks,26760019968.0,1119.5
DIFFNKG,25672,Diffusion Engineers,14417983488.0,388.35
DIGITIDE,757515,Digitide Solutions,14666537984.0,98.36
DIVGIITTS,14479,Divgi Torqtransfer Systems,29726605312.0,972.0
DLINKINDIA,17851,D-Link,15890194432.0,447.55
DODLA,4822,Dodla Dairy,63911280640.0,1059.4
DOLATALGO,12124,Dolat Algotech,12085919744.0,68.67
DOLLAR,20560,Dollar Industries,14516490240.0,255.95
DOLPHIN,18139,Dolphin Offshore,15071725568.0,376.75
DOMS,20551,DOMS Industries,138187341824.0,2277.0
DPABHUSHAN,936,D P Abhushan,32169103360.0,1409.2
DREDGECORP,11271,Dredging Corporation of India,30799998976.0,1100.0
DSSL,25690,Dynacons Systems & Solutions,15755767808.0,1237.0
DYNAMATECH,4525,Dynamatic Technologies,70440845312.0,10372.0
EASEMYTRIP,2792,Easy Trip Planners,24476022784.0,6.73
EBGNG,757862,GNG Electronics,64416509952.0,565.0
ECLERX,15179,eClerx Services,180203880448.0,1958.2
EDELWEISS,15119,Edelweiss Financial Services,110204682240.0,116.43
EFCIL,758675,EFC,29862932480.0,201.85
EIEL,27213,Enviro Infra Engineers,38037352448.0,216.7
EIHAHOTELS,15399,EIH Associated Hotels,19234541568.0,315.65
EIMCOELECO,4040,Eimco Elecon,10325408768.0,1790.0
EKC,13091,Everest Kanto Cylinder,12044371968.0,107.34
ELANTAS,762653,Elantas Beck,75970977792.0,9583.0
ELECON,13643,Elecon Engineering Company,95246557184.0,424.45
ELECTCAST,928,Electrosteel Castings,44571107328.0,72.1
ELECTHERM,4469,Electrotherm,12933956608.0,1015.0
ELGIEQUIP,937,Elgi Equipments,182099247104.0,577.65
ELLEN,758563,Ellenbarrie Industrial Gases,38334484480.0,272.0
ELPROINTL,4471,Elpro International,29997807616.0,177.0
EMAMILTD,13517,Emami,178550325248.0,409.05
EMBDL,14450,Embassy Developments,85973565440.0,61.85
EMCURE,24398,Emcure Pharmaceuticals,360031879168.0,1898.1
EMIL,11530,Electronics Mart,51075399680.0,132.75
EMMVEE,759728,Emmvee Photovoltaic Power,219819540480.0,317.5
EMSLIMITED,18593,EMS,21990199296.0,396.0
EMUDHRA,9756,eMudhra,37444665344.0,456.4
ENDURANCE,18822,Endurance Technologies,389762678784.0,2770.9
ENGINERSIN,4907,Engineers India,126594424832.0,225.24
ENTERO,22717,Entero Healthcare Solutions,53215657984.0,1222.7
EPACK,22463,Epack Durable,22317307904.0,231.92
EPACKPEB,759251,EPack Prefab Technologies,26606837760.0,264.4
EPIGRAL,5382,Epigral,48628912128.0,1127.2
EPL,981,EPL,75177066496.0,234.71
ERIS,21154,Eris Lifesciences,198250397696.0,1430.6
ESABINDIA,955,ESAB India,85954625536.0,5584.0
ESAFSFB,19878,ESAF Small Finance Bank,19366158336.0,37.53
ESCORTS,958,Escorts Kubota,331919622144.0,3016.7
ETHOSLTD,9750,Ethos,68483633152.0,2559.4
EUREKAFORB,25162,Eureka Forbes,87387676672.0,451.6
EUROPRATIK,759797,Euro Pratik Sales,31891509248.0,312.05
EVEREADY,11782,Eveready Industries,25313339392.0,348.25
EXCELINDUS,11471,Excel Industries,12382131200.0,985.0
EXICOM,22947,Exicom Tele-Systems,22312566784.0,160.43
