day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-09-17,M10,ADANIENT,BUY,BUY-EX7,106,10:10,610,2942.0,,BREAKOUT,1,0,,0.248,0.753,INFRA,,,,,,,,-389.0,,-1.0,,100% SL 10:30,-472,-1.0,100% SL 10:30,0.12,1.41,0.11,0.11,-0.64,0.233,TREND-UP
2026-09-17,M10,ADANIGREEN,BUY,BUY-EX7,106,10:10,610,1275.8,,BREAKOUT,1,0,,0.248,0.441,GREEN,,,,,,,,-341.0,,-1.0,,100% SL 11:10,-428,-1.0,100% SL 11:10,0.26,1.55,0.14,0.14,-0.13,0.233,TREND-UP
2026-09-17,M10,ADANIPORTS,BUY,BUY-EX17,102,10:05,605,1736.6,,BREAKOUT,1,0,,0.248,0.743,LOGISTICS,,,,,,,,-109.0,,-0.36,,OPEN,18,0.16,OPEN,0.2,0.73,0.13,0.2,0.1,0.233,TREND-UP
2026-09-17,M10,ADANIPOWER,BUY,BUY-EX17,102,09:30,570,204.4,,BREAKOUT,1,0,,0.248,1.018,ENE,,,,,,,,246.0,,0.5,,OPEN,340,0.75,OPEN,0.75,0.41,0.27,0.36,0.74,0.233,TREND-UP
2026-09-17,M10,AMBER,BUY,BUY-EX17,102,09:30,570,6995.0,,BREAKOUT,1,0,,0.248,0.938,CDUR,,,,,,,,497.0,,0.62,,OPEN,327,0.45,OPEN,0.85,0.24,0.36,0.5,0.73,0.233,TREND-UP
2026-09-17,M10,AUBANK,BUY,BUY-EX17,102,09:30,570,1037.6,,BREAKOUT,1,0,,0.248,0.426,BANK,,,,,,,,-106.0,,-0.19,,OPEN,51,0.15,OPEN,0.89,0.4,0.47,0.58,0.16,0.233,TREND-UP
2026-09-17,M10,AXISBANK,BUY,BUY-EX17,102,09:30,570,1251.2,,BREAKOUT,1,0,,0.248,0.822,BANK,,,,,,,,-374.0,,-0.58,,OPEN,-467,-0.68,OPEN,0.38,0.69,0.38,0.38,-0.9,0.233,TREND-UP
2026-09-17,M10,BANKINDIA,BUY,BUY-EX17,102,09:30,570,140.82,,BREAKOUT,1,0,,0.248,2.184,PSUBK,,,,,,,,-706.0,,-1.0,,100% SL 11:05,-793,-1.0,100% SL 11:05,0.14,1.33,0.14,0.14,-1.88,0.233,TREND-UP
2026-09-17,M10,BSE,BUY,BUY-EX17,102,09:30,570,3278.4,,BREAKOUT,1,0,,0.248,1.185,CAPMKTS,,,,,,,,-640.0,,-1.0,,100% SL 11:15,-726,-1.0,100% SL 11:15,0.58,1.06,0.58,0.58,-0.59,0.233,TREND-UP
2026-09-17,M10,CAMS,BUY,BUY-EX6,105,09:30,570,711.8,,BREAKOUT,1,0,,0.248,0.864,CAPMKTS,,,,,,,,-91.0,,-0.17,,OPEN,190,0.42,OPEN,0.94,0.57,0.18,0.67,0.44,0.233,TREND-UP
2026-09-17,M10,CGPOWER,BUY,BUY-EX17,102,09:30,570,869.6,,BREAKOUT,1,0,,0.248,2.12,CAPGOODS,,,,,,,,621.0,,0.84,,OPEN,562,0.8,OPEN,1.05,0.51,0.37,0.37,1.2,0.233,TREND-UP
