day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard
2026-07-31,M9C,GEOJITFSL,SELL,ENTRY SELL,290,09:20,560,75.08,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-1.041,,,,,,,,,,,,,,C
2026-07-31,M9C,GEOJITFSL,BUY,ENTRY BUY,90,09:25,565,75.63,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.316,,,,,,,,,,,,,,C
2026-07-31,M9C,GLAND,BUY,ENTRY BUY,90,09:20,560,2523.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.04,,,,,,,,,,,,,,C
2026-07-31,M9C,GOLDIAM,BUY,ENTRY BUY,90,09:20,560,366.5,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.243,,,,,,,,,,,,,,C
2026-07-31,M9C,GPTHEALTH,BUY,ENTRY BUY,90,09:20,560,168.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.719,,,,,,,,,,,,,,C
2026-07-31,M9C,GREAVESCOT,BUY,ENTRY BUY,90,09:20,560,233.94,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.989,,,,,,,,,,,,,,C
2026-07-31,M9C,GRWRHITECH,BUY,ENTRY BUY,90,09:20,560,6943.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.623,,,,,,,,,,,,,,C
2026-07-31,M9C,GULFOILLUB,BUY,ENTRY BUY,90,09:25,565,1060.3,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.674,,,,,,,,,,,,,,C
2026-07-31,M9C,HGS,BUY,ENTRY BUY,90,09:25,565,427.25,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.529,,,,,,,,,,,,,,C
2026-07-31,M9C,HINDCOPPER,BUY,ENTRY BUY,90,09:25,565,488.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.698,,,,,,,,,,,,,,C
2026-07-31,M9C,HIRECT,BUY,ENTRY BUY,90,09:20,560,1324.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,2.222,,,,,,,,,,,,,,C
2026-07-31,M9C,HONASA,BUY,ENTRY BUY,90,09:20,560,456.65,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.704,,,,,,,,,,,,,,C
2026-07-31,M9C,HUHTAMAKI,SELL,ENTRY SELL,290,09:20,560,293.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-1.935,,,,,,,,,,,,,,C
2026-07-31,M9C,ICRA,SELL,ENTRY SELL,290,09:25,565,4841.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-1.686,,,,,,,,,,,,,,C
2026-07-31,M9C,IGIL,BUY,ENTRY BUY,90,09:20,560,347.65,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.55,,,,,,,,,,,,,,C
2026-07-31,M9C,IKS,SELL,ENTRY SELL,290,09:20,560,1775.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.555,,,,,,,,,,,,,,C
2026-07-31,M9C,INDNIPPON,BUY,ENTRY BUY,90,09:20,560,1170.2,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.316,,,,,,,,,,,,,,C
2026-07-31,M9C,ITDC,BUY,ENTRY BUY,90,09:20,560,704.6,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.586,,,,,,,,,,,,,,C
2026-07-31,M9C,IXIGO,BUY,ENTRY BUY,90,09:25,565,199.79,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,3.117,,,,,,,,,,,,,,C
2026-07-31,M9C,JAMNAAUTO,BUY,ENTRY BUY,90,09:20,560,131.65,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.727,,,,,,,,,,,,,,C
2026-07-31,M9C,JAYBARMARU,BUY,ENTRY BUY,90,09:20,560,160.59,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,4.619,,,,,,,,,,,,,,C
2026-07-31,M9C,JINDALPOLY,BUY,ENTRY BUY,90,09:20,560,635.95,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.689,,,,,,,,,,,,,,C
2026-07-31,M9C,JKLAKSHMI,SELL,ENTRY SELL,290,09:20,560,565.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.062,,,,,,,,,,,,,,C
2026-07-31,M9C,JSWDULUX,SELL,ENTRY SELL,290,09:20,560,2931.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.452,,,,,,,,,,,,,,C
