decision_id,symbol,side,signal,code,time,entry,sector,bar_dt,signal_age_min,score,accepted,model_reason,subtype,opening_breadth_coverage,taken,why,f_dir_prev_pct,f_dir_gap_pct,f_ema9_20_atr,f_ema20_50_atr,f_close_ema20_atr,f_close_vwap_atr,f_candle_clv,f_body_atr,f_range_atr,f_relvol20,f_clock_relvol,f_master_total_score,f_opening_breadth_dir,f_live_breadth_dir,f_sector_breadth_dir,f_prior_vix_return,f_video_setups,f_video_setup_count,f_s1,f_s2,f_s3,f_s4,f_market_adv_ratio,f_market_breadth_dir,f_dir_market_pct,f_market_regime,f_sector_adv_ratio,f_sector_breadth_prev_dir,f_dir_sector_pct,f_sector_leads_market,f_sector_lags_market,f_dir_stock_pct,f_stock_leads_sector,cf_net,cf_gross,cf_drag,cf_r,cf_exit,cf_win
BHARTIARTL|SELL|11:50|280,BHARTIARTL,SELL,NORMAL SELL,280,11:50,1919.1,TELECOM,2026-08-11T11:50:00+05:30,2.095,21.39,False,opening market breadth below 55% in signal direction,MOMENTUM-CONTROLLED,210,0,opening market breadth below 55% in signal direction,0.9650118691299392,0.10320982557538994,0.5859121841610859,2.302783657846454,1.8749212781832127,1.8962195942369313,0.7272727272727743,0.6230095135884415,0.9137472865963998,1.2268605097366798,1.279767936765302,38.0,0.4380952380952381,0.6952380952380952,0.33333333333333337,0.5766,S1,1,1,0,0,0,0.3047619047619048,0.6952380952380952,0.4596656115597786,BEAR,0.6666666666666666,0.33333333333333337,-1.154891304347827,False,True,0.9650118691299392,True,-63.06,196.0,259.06,0.76,60% book +0.75R 12:00 · runner stop 12:05,0
IRFC|SELL|11:55|201,IRFC,SELL,SELL-EX1,201,11:55,88.01,RAILWAYS,2026-08-11T11:55:00+05:30,10.277,33.23,False,opening market breadth below 55% in signal direction,MOMENTUM-CONTROLLED,210,0,opening market breadth below 55% in signal direction,0.5199478509885003,-0.022604118649871552,0.5460774637501687,1.372253497789233,1.5831801481891776,1.8234372046870018,1.0,1.2389764285724176,1.2389764285724176,1.7556879962931937,1.6571428571428573,15.0,0.3904761904761904,0.7,1.0,0.5766,S1,1,1,0,0,0,0.3,0.7,0.4892600270044234,BEAR,0.0,1.0,0.4291710576627694,False,True,0.5199478509885003,True,-16.4,243.0,259.4,0.67,60% book +0.75R 12:00 · runner stop 12:05,0
BPCL|SELL|11:55|201,BPCL,SELL,SELL-EX1,201,11:55,316.0,OIL,2026-08-11T11:55:00+05:30,9.445,18.69,False,S1 Morning Base is mandatory,MOMENTUM-CONTROLLED,210,0,S1 Morning Base is mandatory,0.9404388714733591,0.956109026009011,0.7993804818474167,1.4071071782461702,1.7534137965664907,2.316700323358937,0.6874952315556573,0.797269815167945,1.59453963033589,1.4886685787231222,0.69250865202009,25.0,0.3904761904761904,0.7,0.4285714285714286,0.5766,,0,0,0,0,0,0.3,0.7,0.4892600270044234,BEAR,0.5714285714285714,0.4285714285714286,-0.2173169891456883,False,True,0.9404388714733591,True,38.61,298.0,259.39,0.61,60% book +0.75R 12:15 · runner stop 12:20,1
JUBLFOOD|SELL|12:00|202,JUBLFOOD,SELL,SELL-EX2,202,12:00,489.45,CONSUMPTION,2026-08-11T12:00:00+05:30,5.361,39.77,False,S1 Morning Base is mandatory,PULLBACK-REENTRY,210,0,S1 Morning Base is mandatory,1.1212096551452055,0.2121187460542906,0.5999106968899947,0.7131817293448621,1.9445070549855015,2.456221635568018,0.9714181082589286,1.2964384359105747,1.6205551099478146,0.8320339398928297,1.6299190622383477,5.0,0.3904761904761904,0.7095238095238094,1.0,0.5766,S2,1,0,1,0,0,0.2904761904761905,0.7095238095238094,0.5191710266644889,BEAR,0.0,1.0,0.5043558000916937,False,True,1.1212096551452055,True,-907.1,-675.0,232.1,-0.75,momentum failure 12:15,0
TRENT|SELL|12:00|280,TRENT,SELL,NORMAL SELL,280,12:00,2993.3,CONSUMPTION,2026-08-11T12:00:00+05:30,6.365,29.57,False,opening market breadth below 55% in signal direction,MOMENTUM-CONTROLLED,210,0,opening market breadth below 55% in signal direction,0.8841043434395734,-0.14238572278559847,0.503368621903668,1.1349790483147233,2.248688436550163,2.2786120300542048,0.9384390024038461,0.972056261919354,1.3163127977895774,0.9828769945670435,0.9336946702800362,15.0,0.3904761904761904,0.7095238095238094,1.0,0.5766,S1,1,1,0,0,0,0.2904761904761905,0.7095238095238094,0.5191710266644889,BEAR,0.0,1.0,0.5043558000916937,False,True,0.8841043434395734,True,-865.58,-556.0,309.58,-1.0,SL 12:05,0
RELIANCE|SELL|12:00|216,RELIANCE,SELL,SELL-EX15,216,12:00,1318.1,ENE,2026-08-11T12:00:00+05:30,6.073,25.82,False,opening market breadth below 55% in signal direction,MOMENTUM-CONTROLLED,210,0,opening market breadth below 55% in signal direction,0.640737555711024,0.015074294130668076,0.3396324563953112,1.1932223627336878,1.2952487373776962,1.1186242981019061,0.95001220703125,1.3886991308708596,1.4617697757910801,1.0770593931762564,0.8647933884297521,18.0,0.3904761904761904,0.7095238095238094,0.7777777777777778,0.5766,S1,1,1,0,0,0,0.2904761904761905,0.7095238095238094,0.5191710266644889,BEAR,0.2222222222222222,0.7777777777777778,0.4600436654878082,False,True,0.640737555711024,True,-500.31,-265.0,235.31,-0.65,momentum failure 12:10,0
CIPLA|SELL|12:00|280,CIPLA,SELL,NORMAL SELL,280,12:00,1460.7,PHA,2026-08-11T12:00:00+05:30,4.546,16.1,False,opening market breadth below 55% in signal direction,MOMENTUM-CONTROLLED,210,0,opening market breadth below 55% in signal direction,0.47693671955298944,-0.020443471970232885,0.28025806788393026,0.8355572836026859,0.9882036631092569,0.8410525706018444,0.5000435957799285,0.20671541620212067,0.7234724163631742,1.4613216151231243,0.5074132719159349,28.0,0.3904761904761904,0.7095238095238094,0.6153846153846154,0.5766,S1,1,1,0,0,0,0.2904761904761905,0.7095238095238094,0.5191710266644889,BEAR,0.38461538461538464,0.6153846153846154,0.36314098492546965,False,True,0.47693671955298944,True,-480.77,-170.0,310.77,-1.0,SL 12:10,0
