day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-07-31,M1,ABCAPITAL,BUY,ENTRY BUY,90,09:20,560,407.8,55.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,3.516,FIN,,,,,,,,,,,,,,-969,-1.0,100% SL 14:15,0.56,1.09,0.36,0.36,-0.69,0.476,MIXED
2026-07-31,M1,ADANIENSOL,BUY,ENTRY BUY,90,09:20,560,1675.0,152.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.392,ENE,,,,,,,,,,,,,,-344,-1.0,100% SL 09:25,0.74,5.03,0.74,0.74,-1.77,0.476,MIXED
2026-07-31,M1,ADANIPORTS,BUY,ENTRY BUY,90,09:25,565,1665.0,25.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.211,LOGISTICS,,,,,,,,,,,,,,816,3.94,100% trail 14:35,5.63,0.41,0.75,0.75,1.56,0.476,MIXED
2026-07-31,M1,ANGELONE,BUY,ENTRY BUY,90,09:25,565,296.8,201.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.714,CAPMKTS,,,,,,,,,,,,,,-31,0.06,100% EOD 15:20,0.72,0.37,0.42,0.42,0.24,0.476,MIXED
2026-07-31,M1,APLAPOLLO,SELL,ENTRY SELL,290,09:25,565,1879.4,80.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.718,MET,,,,,,,,,,,,,,1651,2.28,100% EOD 15:20,2.57,0.29,0.62,0.62,3.16,0.476,MIXED
2026-07-31,M1,ASHOKLEY,BUY,ENTRY BUY,90,09:20,560,160.86,81.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.297,AUTO,,,,,,,,,,,,,,1218,2.45,100% trail 11:05,3.4,0.4,2.4,3.1,2.92,0.476,MIXED
2026-07-31,M1,AUBANK,BUY,ENTRY BUY,90,09:20,560,1040.0,136.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.678,BANK,,,,,,,,,,,,,,190,1.09,100% trail 15:15,3.28,0.79,0.51,0.89,0.58,0.476,MIXED
2026-07-31,M1,BAJAJ-AUTO,BUY,ENTRY BUY,90,09:20,560,11513.5,32.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.599,AUTO,,,,,,,,,,,,,,-7,0.08,100% EOD 15:20,0.41,0.29,0.04,0.04,0.05,0.476,MIXED
2026-07-31,M1,BAJAJHLDNG,BUY,ENTRY BUY,90,09:20,560,11130.0,70.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.932,FIN,,,,,,,,,,,,,,899,1.35,100% trail 12:35,1.86,0.68,0.49,0.66,1.84,0.476,MIXED
2026-07-31,M1,BANDHANBNK,BUY,ENTRY BUY,90,09:25,565,174.51,196.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.96,BANK,,,,,,,,,,,,,,-259,-0.63,100% EOD 15:20,0.86,0.87,0.86,0.86,-0.35,0.476,MIXED
2026-07-31,M1,BDL,BUY,ENTRY BUY,90,09:20,560,1255.6,164.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.69,DEF,,,,,,,,,,,,,,-61,0.07,100% trail 11:10,1.04,0.63,0.67,1.04,-0.29,0.476,MIXED
2026-07-31,M1,BEL,BUY,ENTRY BUY,90,09:20,560,387.8,204.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.727,DEF,,,,,,,,,,,,,,-73,0.0,100% EOD 15:20,0.97,0.54,0.97,0.97,0.0,0.476,MIXED
2026-07-31,M1,BHEL,BUY,ENTRY BUY,90,09:20,560,410.45,128.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.534,CAPGOODS,,,,,,,,,,,,,,-360,-1.0,100% SL 11:25,0.84,1.99,0.84,0.84,-0.97,0.476,MIXED
2026-07-31,M1,BLUESTARCO,BUY,ENTRY BUY,90,09:20,560,1705.3,107.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.076,CDUR,,,,,,,,,,,,,,-598,-1.0,100% SL 11:25,0.9,1.89,0.9,0.9,-1.6,0.476,MIXED
2026-07-31,M1,BSE,BUY,ENTRY BUY,90,09:25,565,3576.0,138.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.223,CAPMKTS,,,,,,,,,,,,,,867,1.21,100% EOD 15:20,1.28,0.64,0.15,0.15,1.98,0.476,MIXED
2026-07-31,M1,CAMS,BUY,ENTRY BUY,90,09:20,560,796.55,101.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.422,CAPMKTS,,,,,,,,,,,,,,-16,0.12,100% trail 11:40,1.15,0.81,1.15,1.15,-0.18,0.476,MIXED
2026-07-31,M1,CDSL,BUY,ENTRY BUY,90,09:25,565,1345.0,186.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.598,CAPMKTS,,,,,,,,,,,,,,-393,-1.0,100% SL 12:40,0.36,1.81,0.36,0.36,-0.97,0.476,MIXED
2026-07-31,M1,CHOLAFIN,BUY,ENTRY BUY,90,09:25,565,1820.0,185.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,2.506,FIN,,,,,,,,,,,,,,710,0.9,100% trail 13:05,1.05,0.35,0.55,0.7,1.48,0.476,MIXED
2026-07-31,M1,COALINDIA,SELL,ENTRY SELL,290,09:20,560,411.15,75.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-1.45,ENE,,,,,,,,,,,,,,-515,-1.0,100% SL 13:55,0.28,1.12,0.28,0.28,-0.79,0.476,MIXED
