day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-09-23,M10,360ONE,BUY,BUY-EX17,102,09:30,570,1112.8,,BREAKOUT,1,0,,0.348,3.661,CAPMKTS,,,,,,,,-192.0,,-0.21,,OPEN,-170,-0.17,OPEN,0.29,0.31,0.29,0.29,-0.43,0.319,MIXED
2026-09-23,M10,ADANIENT,BUY,BUY-EX17,102,09:50,590,3019.4,,BREAKOUT,1,0,,0.348,0.747,INFRA,,,,,,,,-317.0,,-1.0,,100% SL 10:05,-402,-1.0,100% SL 10:05,0.23,1.95,0.23,0.23,-0.87,0.319,MIXED
2026-09-23,M10,ANGELONE,BUY,BUY-EX7,106,09:35,575,297.75,,BREAKOUT,1,0,,0.348,0.898,CAPMKTS,,,,,,,,374.0,,1.24,,100% trail 14:35,286,1.24,100% trail 14:35,1.74,0.66,0.55,0.55,0.76,0.319,MIXED
2026-09-23,M10,AUROPHARMA,BUY,BUY-EX7,106,10:20,620,1704.7,,BREAKOUT,1,0,,0.348,0.276,PHA,,,,,,,,418.0,,1.54,,OPEN,456,1.8,OPEN,1.93,0.94,0.14,0.14,0.99,0.319,MIXED
2026-09-23,M10,BAJAJFINSV,BUY,BUY-EX7,106,10:05,605,1861.8,,BREAKOUT,1,0,,0.348,2.106,FIN,,,,,,,,-329.0,,-1.0,,100% SL 11:55,-414,-1.0,100% SL 11:55,0.24,1.85,0.24,0.24,-0.82,0.319,MIXED
2026-09-23,M10,BAJAJHLDNG,BUY,BUY-EX17,102,09:35,575,11287.0,,BREAKOUT,1,0,,0.348,0.912,FIN,,,,,,,,468.0,,1.33,,OPEN,620,1.84,OPEN,1.84,0.74,0.44,0.79,1.44,0.319,MIXED
2026-09-23,M10,BDL,BUY,BUY-EX17,102,09:35,575,1175.7,,BREAKOUT,1,0,,0.348,0.659,DEF,,,,,,,,-346.0,,-1.0,,100% SL 12:20,-433,-1.0,100% SL 12:20,0.89,2.22,0.89,0.89,-1.25,0.319,MIXED
2026-09-23,M10,BIOCON,BUY,BUY-EX17,102,09:30,570,391.7,,BREAKOUT,1,0,,0.348,0.436,PHA,,,,,,,,301.0,,0.78,,100% trail 11:45,213,0.78,100% trail 11:45,1.82,0.63,1.35,1.35,0.84,0.319,MIXED
2026-09-23,M10,BPCL,BUY,BUY-EX7,106,09:30,570,315.0,,BREAKOUT,1,0,,0.348,0.446,OIL,,,,,,,,40.0,,0.1,,OPEN,87,0.31,OPEN,0.33,0.56,0.33,0.33,0.24,0.319,MIXED
2026-09-23,M10,COLPAL,BUY,BUY-EX12,111,09:45,585,1886.6,,BREAKOUT,1,0,,0.348,0.942,FMCG,,,,,,,,-44.0,,-0.07,,OPEN,-27,0.0,OPEN,0.57,0.37,0.14,0.14,0.01,0.319,MIXED
