day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s
2026-09-04,M1,CDSL,BUY,BUY-EX,101,10:25,625,1412.0,20.0,BREAKOUT,1,0,,0.6,1.291,CAPMKTS,,,,,,,,-391.0,,-1.0,,100% SL 11:40
2026-09-04,M1,CIPLA,SELL,SELL-EX8,208,09:30,570,1377.9,27.0,BREAKOUT,1,0,,0.6,-1.205,PHA,,,,,,,,-220.0,,-0.32,,OPEN
2026-09-04,M1,HDFCLIFE,BUY,BUY-EX,101,09:55,595,541.85,26.0,BREAKOUT,1,0,,0.6,1.565,INSURANCE,,,,,,,,243.0,,0.44,,100% trail 12:35
2026-09-04,M1,INDIANB,SELL,SELL-EX3,203,09:40,580,879.85,11.0,BREAKOUT,1,0,,0.6,-1.001,PSUBK,,,,,,,,-508.0,,-1.0,,100% SL 11:25
2026-09-04,M1,LUPIN,SELL,SELL-EX3,203,09:30,570,2118.9,21.0,BREAKOUT,1,0,,0.6,-0.614,PHA,,,,,,,,255.0,,0.55,,OPEN
2026-09-04,M1,MARICO,BUY,BUY-EX4,103,10:20,620,824.15,30.0,BREAKOUT,1,0,,0.6,-0.393,FMCG,,,,,,,,-337.0,,-1.0,,100% SL 13:25
2026-09-04,M1,MARUTI,SELL,SELL-EX3,203,09:35,575,12761.0,10.0,BREAKOUT,1,0,,0.6,-0.747,AUTO,,,,,,,,175.0,,0.7,,100% trail 14:40
2026-09-04,M1,SUNPHARMA,SELL,SELL-EX3,203,09:35,575,1905.6,16.0,BREAKOUT,1,0,,0.6,-0.543,PHA,,,,,,,,174.0,,0.58,,OPEN
2026-09-04,M1,SUPREMEIND,SELL,SELL-EX1,201,10:25,625,3494.7,24.0,BREAKOUT,1,0,,0.6,-0.382,BUILDMAT,,,,,,,,-266.0,,-1.0,,100% SL 11:35
2026-09-04,M1,TATAELXSI,SELL,SELL-EX8,208,10:10,610,3597.0,19.0,BREAKOUT,1,0,,0.6,0.475,IT,,,,,,,,556.0,,2.36,,100% trail 15:10
2026-09-04,M1,UNOMINDA,SELL,SELL-EX8,208,09:35,575,1240.2,17.0,BREAKOUT,1,0,,0.6,-2.27,AUTO,,,,,,,,-184.0,,-0.25,,OPEN
2026-09-04,M1,HAVELLS,SELL,NORMAL SELL,280,11:10,670,1156.3,3.0,BREAKOUT,1,0,,0.6,-3.642,CDUR,,,,,,,,-4.0,,-0.01,,OPEN
2026-09-04,M1,POWERINDIA,SELL,SELL-EX1,201,11:00,660,31690.0,9.0,BREAKOUT,1,0,,0.6,-0.969,CAPGOODS,,,,,,,,-60.0,,-0.28,,OPEN
2026-09-04,M1,TORNTPHARM,SELL,SELL-EX1,201,11:30,690,4890.5,30.0,BREAKOUT,1,0,,0.6,-0.306,PHA,,,,,,,,450.0,,1.77,,100% trail 14:25
2026-09-04,M1,ABB,SELL,ENTRY SELL,290,09:20,560,7418.0,32.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,-0.188,CAPGOODS,,,,,,,,,,,,
2026-09-04,M1,ABCAPITAL,BUY,ENTRY BUY,90,09:20,560,403.2,195.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,0.299,FIN,,,,,,,,,,,,
2026-09-04,M1,ADANIENSOL,BUY,ENTRY BUY,90,09:20,560,1388.4,103.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,0.195,ENE,,,,,,,,,,,,
2026-09-04,M1,ADANIPOWER,BUY,ENTRY BUY,90,09:20,560,208.1,78.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,-0.091,ENE,,,,,,,,,,,,
2026-09-04,M1,ALKEM,SELL,ENTRY SELL,290,09:20,560,5146.0,100.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,-0.905,PHA,,,,,,,,,,,,
2026-09-04,M1,AMBER,BUY,ENTRY BUY,90,09:20,560,7442.0,84.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,0.432,CDUR,,,,,,,,,,,,
2026-09-04,M1,ASIANPAINT,BUY,ENTRY BUY,90,09:25,565,2543.0,140.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,0.055,CHEMICALS,,,,,,,,,,,,
2026-09-04,M1,ASTRAL,BUY,ENTRY BUY,90,09:20,560,1509.0,122.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,0.923,BUILDMAT,,,,,,,,,,,,
2026-09-04,M1,BAJFINANCE,BUY,ENTRY BUY,90,09:20,560,1055.2,85.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,0.591,FIN,,,,,,,,,,,,
2026-09-04,M1,BANDHANBNK,BUY,ENTRY BUY,90,09:20,560,165.75,165.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,0.926,BANK,,,,,,,,,,,,
2026-09-04,M1,BDL,BUY,ENTRY BUY,90,09:20,560,1269.3,45.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.6,0.922,DEF,,,,,,,,,,,,
