day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-08-20,M10,CHOLAFIN,SELL,SELL-EX19,219,09:45,585,1878.8,,BREAKOUT,1,0,,0.529,0.347,FIN,,,,,,,,-493.0,,-1.0,,100% SL 10:40,,,,,,,,,,
2026-08-20,M10,ABCAPITAL,BUY,BUY-EX17,102,10:00,600,406.45,,BREAKOUT,1,0,,0.529,2.821,FIN,,,,,,,,228.0,,0.28,,OPEN,,,,,,,,,,
2026-08-20,M10,BANKBARODA,BUY,BUY-EX6,105,09:55,595,246.99,,BREAKOUT,1,0,,0.529,0.722,PSUBK,,,,,,,,-386.0,,-1.0,,100% SL 14:10,,,,,,,,,,
2026-08-20,M10,CIPLA,BUY,BUY-EX17,102,10:00,600,1436.2,,BREAKOUT,1,0,,0.529,0.153,PHA,,,,,,,,41.0,,0.14,,OPEN,,,,,,,,,,
2026-08-20,M10,DALBHARAT,BUY,BUY-EX17,102,10:15,615,1904.4,,BREAKOUT,1,0,,0.529,3.292,CEMENT,,,,,,,,372.0,,0.81,,100% trail 14:05,,,,,,,,,,
2026-08-20,M10,UNOMINDA,BUY,BUY-EX17,102,09:55,595,1280.7,,BREAKOUT,1,0,,0.529,0.384,AUTO,,,,,,,,-423.0,,-1.0,,100% SL 11:40,,,,,,,,,,
2026-08-20,M10,VEDL,BUY,BUY-EX6,105,10:10,610,269.5,,BREAKOUT,1,0,,0.529,0.56,MET,,,,,,,,-278.0,,-0.42,,OPEN,,,,,,,,,,
2026-08-20,M10,KFINTECH,BUY,BUY-EX7,106,11:10,670,972.35,,BREAKOUT,1,0,,0.529,2.261,CAPMKTS,,,,,,,,-385.0,,-1.0,,100% SL 14:20,,,,,,,,,,
2026-08-20,M10,MUTHOOTFIN,BUY,BUY-EX7,106,11:00,660,2987.0,,BREAKOUT,1,0,,0.529,3.823,FIN,,,,,,,,-413.0,,-1.0,,100% SL 15:00,,,,,,,,,,
2026-08-20,M10,TVSMOTOR,BUY,BUY-EX12,111,11:10,670,4402.2,,PULLBACK,1,0,,0.529,0.255,AUTO,,,,,,,,-130.0,,-1.0,,100% SL 12:55,,,,,,,,,,
2026-08-20,M10,ABCAPITAL,BUY,ENTRY BUY,90,09:20,560,403.85,,,0,0,scanner-table preview (90/290) — no chart label,0.529,2.163,FIN,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,APOLLOHOSP,SELL,ENTRY SELL,290,09:20,560,8736.5,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-1.355,HOSPITALS,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,ASHOKLEY,SELL,ENTRY SELL,290,09:20,560,173.9,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-1.058,AUTO,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,ASTRAL,BUY,ENTRY BUY,90,09:20,560,1542.8,,,0,0,scanner-table preview (90/290) — no chart label,0.529,0.777,BUILDMAT,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,AUROPHARMA,SELL,ENTRY SELL,290,09:20,560,1622.5,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-1.218,PHA,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,BAJAJ-AUTO,SELL,ENTRY SELL,290,09:25,565,11637.0,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-0.886,AUTO,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,BAJAJHLDNG,SELL,ENTRY SELL,290,09:20,560,11316.0,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-0.168,FIN,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,BANDHANBNK,BUY,ENTRY BUY,90,09:20,560,173.8,,,0,0,scanner-table preview (90/290) — no chart label,0.529,0.742,BANK,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,BANKBARODA,SELL,ENTRY SELL,290,09:20,560,245.22,,,0,0,scanner-table preview (90/290) — no chart label,0.529,0.0,PSUBK,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,BEL,SELL,ENTRY SELL,290,09:25,565,410.05,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-0.954,DEF,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,BHARATFORG,SELL,ENTRY SELL,290,09:20,560,2067.7,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-0.882,AUTO,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,BHARTIARTL,SELL,ENTRY SELL,290,09:25,565,1937.6,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-0.072,TELECOM,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,CAMS,SELL,ENTRY SELL,290,09:20,560,755.95,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-1.047,CAPMKTS,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,CIPLA,SELL,ENTRY SELL,290,09:20,560,1428.9,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-0.356,PHA,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,COCHINSHIP,BUY,ENTRY BUY,90,09:20,560,1491.0,,,0,0,scanner-table preview (90/290) — no chart label,0.529,0.492,DEF,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,CONCOR,SELL,ENTRY SELL,290,09:25,565,515.5,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-0.77,LOGISTICS,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,DALBHARAT,BUY,ENTRY BUY,90,09:20,560,1894.8,,,0,0,scanner-table preview (90/290) — no chart label,0.529,2.772,CEMENT,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,DELHIVERY,SELL,ENTRY SELL,290,09:20,560,449.6,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-1.23,LOGISTICS,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,DMART,BUY,ENTRY BUY,90,09:20,560,4043.4,,,0,0,scanner-table preview (90/290) — no chart label,0.529,1.964,CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,EICHERMOT,SELL,ENTRY SELL,290,09:20,560,7990.5,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-0.899,AUTO,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,GODFRYPHLP,BUY,ENTRY BUY,90,09:20,560,2136.8,,,0,0,scanner-table preview (90/290) — no chart label,0.529,1.002,FMCG,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,M10,HAL,SELL,ENTRY SELL,290,09:25,565,5015.0,,,0,0,scanner-table preview (90/290) — no chart label,0.529,-1.734,DEF,,,,,,,,,,,,,,,,,,,,,,
