day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard
2026-07-31,M9B,5PAISA,BUY,ENTRY BUY,90,09:25,565,349.9,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,1.098,,,,,,,,,,,,,,B
2026-07-31,M9B,ACI,SELL,ENTRY SELL,290,09:25,565,547.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,-2.147,,,,,,,,,,,,,,B
2026-07-31,M9B,AFFLE,SELL,ENTRY SELL,290,09:20,560,1605.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,-0.619,,,,,,,,,,,,,,B
2026-07-31,M9B,AJANTPHARM,SELL,ENTRY SELL,290,09:20,560,3415.4,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,-0.773,,,,,,,,,,,,,,B
2026-07-31,M9B,AMAGI,SELL,ENTRY SELL,290,09:20,560,645.9,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,-1.419,,,,,,,,,,,,,,B
2026-07-31,M9B,ARSSBL,BUY,ENTRY BUY,90,09:20,560,511.4,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,0.689,,,,,,,,,,,,,,B
2026-07-31,M9B,ATHERENERG,BUY,ENTRY BUY,90,09:20,560,1260.4,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,1.481,,,,,,,,,,,,,,B
2026-07-31,M9B,AVALON,BUY,ENTRY BUY,90,09:20,560,1820.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,2.848,,,,,,,,,,,,,,B
2026-07-31,M9B,AVL,BUY,ENTRY BUY,90,09:20,560,640.55,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,2.112,,,,,,,,,,,,,,B
2026-07-31,M9B,AWHCL,BUY,ENTRY BUY,90,09:25,565,430.45,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,1.235,,,,,,,,,,,,,,B
2026-07-31,M9B,BBL,BUY,ENTRY BUY,90,09:20,560,2562.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,2.726,,,,,,,,,,,,,,B
2026-07-31,M9B,BEML,BUY,ENTRY BUY,90,09:20,560,1770.9,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.38,1.142,,,,,,,,,,,,,,B
