day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s
2026-09-22,M10,ANGELONE,BUY,BUY-EX17,102,09:35,575,298.35,,BREAKOUT,1,0,,0.757,0.743,CAPMKTS,,,,,,,,-526.0,,-0.72,,OPEN
2026-09-22,M10,AXISBANK,BUY,BUY-EX7,106,10:05,605,1251.9,,BREAKOUT,1,0,,0.757,0.152,BANK,,,,,,,,-205.0,,-1.0,,100% SL 10:35
2026-09-22,M10,BHARTIARTL,BUY,BUY-EX5,104,10:15,615,1834.7,,BREAKOUT,1,0,,0.757,0.246,TELECOM,,,,,,,,-272.0,,-1.0,,100% SL 12:20
2026-09-22,M10,BOSCHLTD,BUY,BUY-EX17,102,09:30,570,47930.0,,BREAKOUT,1,0,,0.757,0.767,AUTO,,,,,,,,115.0,,0.28,,OPEN
2026-09-22,M10,BSE,BUY,BUY-EX17,102,09:35,575,3230.0,,BREAKOUT,1,0,,0.757,2.183,CAPMKTS,,,,,,,,24.0,,0.03,,OPEN
2026-09-22,M10,GLENMARK,BUY,BUY-EX17,102,09:30,570,2468.4,,BREAKOUT,1,0,,0.757,0.751,PHA,,,,,,,,-276.0,,-1.0,,100% SL 10:15
2026-09-22,M10,GMRAIRPORT,BUY,BUY-EX17,102,09:30,570,99.31,,BREAKOUT,1,0,,0.757,0.618,INFRA,,,,,,,,-302.0,,-1.0,,100% SL 09:55
2026-09-22,M10,HDFCLIFE,BUY,BUY-EX17,102,10:10,610,565.6,,BREAKOUT,1,0,,0.757,1.108,INSURANCE,,,,,,,,-419.0,,-1.0,,100% SL 12:55
2026-09-22,M10,INDUSTOWER,BUY,BUY-EX6,105,10:20,620,379.5,,BREAKOUT,1,0,,0.757,0.49,TELECOM,,,,,,,,282.0,,0.38,,OPEN
2026-09-22,M10,INOXWIND,BUY,BUY-EX12,111,10:25,625,78.72,,PULLBACK,1,0,,0.757,1.574,GREEN,,,,,,,,-205.0,,-1.0,,100% SL 10:40
2026-09-22,M10,JIOFIN,BUY,BUY-EX17,102,09:30,570,231.74,,BREAKOUT,1,0,,0.757,0.77,FIN,,,,,,,,89.0,,0.4,,100% trail 10:20
2026-09-22,M10,JUBLFOOD,BUY,BUY-EX6,105,09:55,595,492.4,,BREAKOUT,1,0,,0.757,1.098,CONSUMPTION,,,,,,,,-76.0,,-0.14,,OPEN
2026-09-22,M10,KALYANKJIL,BUY,BUY-EX6,105,10:10,610,584.85,,BREAKOUT,1,0,,0.757,0.576,CDUR,,,,,,,,-329.0,,-0.83,,100% trail 13:55
2026-09-22,M10,KFINTECH,BUY,BUY-EX17,102,09:30,570,902.1,,BREAKOUT,1,0,,0.757,0.602,CAPMKTS,,,,,,,,-428.0,,-1.0,,100% SL 13:00
2026-09-22,M10,LICHSGFIN,BUY,BUY-EX6,105,09:55,595,571.4,,BREAKOUT,1,0,,0.757,0.599,FIN,,,,,,,,-470.0,,-0.82,,OPEN
2026-09-22,M10,MCX,BUY,BUY-EX7,106,09:35,575,3235.3,,CONTINUATION,1,0,,0.757,0.82,CAPMKTS,,,,,,,,393.0,,1.14,,100% trail 11:45
2026-09-22,M10,MOTILALOFS,BUY,BUY-EX17,102,09:35,575,1007.5,,BREAKOUT,1,0,,0.757,1.256,CAPMKTS,,,,,,,,505.0,,1.18,,100% trail 12:50
2026-09-22,M10,OFSS,BUY,BUY-EX17,102,09:45,585,11052.0,,BREAKOUT,1,0,,0.757,1.292,IT,,,,,,,,-176.0,,-0.26,,OPEN
2026-09-22,M10,PIIND,BUY,BUY-EX17,102,09:35,575,2398.0,,BREAKOUT,1,0,,0.757,3.282,CHEMICALS,,,,,,,,-63.0,,-0.07,,OPEN
2026-09-22,M10,POLICYBZR,BUY,BUY-EX6,105,10:00,600,1796.0,,BREAKOUT,1,0,,0.757,0.167,INSURANCE,,,,,,,,-417.0,,-1.0,,100% SL 11:35
2026-09-22,M10,RVNL,BUY,BUY-EX17,102,09:35,575,211.9,,BREAKOUT,1,0,,0.757,1.044,RAILWAYS,,,,,,,,-475.0,,-1.0,,100% SL 13:50
2026-09-22,M10,SAIL,SELL,SELL-EX19,219,09:30,570,175.86,,BREAKOUT,1,0,,0.757,-0.812,MET,,,,,,,,415.0,,0.74,,OPEN
2026-09-22,M10,SONACOMS,BUY,BUY-EX17,102,09:40,580,800.8,,BREAKOUT,1,0,,0.757,0.698,AUTO,,,,,,,,232.0,,0.58,,100% trail 14:55
2026-09-22,M10,SWIGGY,BUY,BUY-EX17,102,09:30,570,275.85,,BREAKOUT,1,0,,0.757,1.155,NEWAGE,,,,,,,,813.0,,1.57,,100% trail 12:45
2026-09-22,M10,TRENT,SELL,SELL-EX19,219,09:40,580,2812.1,,BREAKOUT,1,0,,0.757,-0.121,CONSUMPTION,,,,,,,,698.0,,1.18,,100% trail 13:35
2026-09-22,M10,VEDL,BUY,BUY-EX7,106,10:10,610,262.45,,BREAKOUT,1,0,,0.757,0.749,MET,,,,,,,,-95.0,,-0.46,,100% trail 13:45
2026-09-22,M10,ZYDUSLIFE,BUY,BUY-EX6,105,09:30,570,1173.0,,BREAKOUT,1,0,,0.757,1.034,PHA,,,,,,,,-489.0,,-1.0,,100% SL 15:05
2026-09-22,M10,ADANIPOWER,BUY,BUY-EX12,111,11:05,665,209.16,,PULLBACK,1,0,,0.757,1.264,ENE,,,,,,,,7.0,,0.04,,100% trail 12:50
2026-09-22,M10,GODREJCP,BUY,BUY-EX7,106,11:15,675,871.1,,BREAKOUT,1,0,,0.757,0.415,FMCG,,,,,,,,393.0,,0.98,,OPEN
2026-09-22,M10,ABB,BUY,ENTRY BUY,90,09:20,560,7386.0,,,0,0,scanner-table preview (90/290) — no chart label,0.757,1.582,CAPGOODS,,,,,,,,,,,,
2026-09-22,M10,ADANIENT,BUY,ENTRY BUY,90,09:20,560,3018.4,,,0,0,scanner-table preview (90/290) — no chart label,0.757,1.459,INFRA,,,,,,,,,,,,
2026-09-22,M10,ADANIGREEN,BUY,ENTRY BUY,90,09:20,560,1311.0,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.568,GREEN,,,,,,,,,,,,
2026-09-22,M10,ADANIPORTS,BUY,ENTRY BUY,90,09:20,560,1809.5,,,0,0,scanner-table preview (90/290) — no chart label,0.757,1.253,LOGISTICS,,,,,,,,,,,,
2026-09-22,M10,ADANIPOWER,BUY,ENTRY BUY,90,09:20,560,208.33,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.862,ENE,,,,,,,,,,,,
2026-09-22,M10,AMBUJACEM,SELL,ENTRY SELL,290,09:25,565,391.5,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.192,CEMENT,,,,,,,,,,,,
2026-09-22,M10,ASHOKLEY,BUY,ENTRY BUY,90,09:20,560,163.9,,,0,0,scanner-table preview (90/290) — no chart label,0.757,1.329,AUTO,,,,,,,,,,,,
2026-09-22,M10,ASTRAL,SELL,ENTRY SELL,290,09:20,560,1392.5,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.6,BUILDMAT,,,,,,,,,,,,
2026-09-22,M10,AUROPHARMA,SELL,ENTRY SELL,290,09:25,565,1704.2,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.537,PHA,,,,,,,,,,,,
2026-09-22,M10,BAJAJ-AUTO,SELL,ENTRY SELL,290,09:20,560,11446.0,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.122,AUTO,,,,,,,,,,,,
2026-09-22,M10,BAJAJFINSV,SELL,ENTRY SELL,290,09:20,560,1854.7,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.265,FIN,,,,,,,,,,,,
2026-09-22,M10,BDL,BUY,ENTRY BUY,90,09:20,560,1190.4,,,0,0,scanner-table preview (90/290) — no chart label,0.757,1.311,DEF,,,,,,,,,,,,
2026-09-22,M10,BLUESTARCO,SELL,ENTRY SELL,290,09:20,560,1545.6,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-1.24,CDUR,,,,,,,,,,,,
2026-09-22,M10,BPCL,BUY,ENTRY BUY,90,09:20,560,316.2,,,0,0,scanner-table preview (90/290) — no chart label,0.757,1.103,OIL,,,,,,,,,,,,
2026-09-22,M10,BRITANNIA,SELL,ENTRY SELL,290,09:20,560,4987.5,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.707,FMCG,,,,,,,,,,,,
2026-09-22,M10,CAMS,BUY,ENTRY BUY,90,09:20,560,712.6,,,0,0,scanner-table preview (90/290) — no chart label,0.757,1.243,CAPMKTS,,,,,,,,,,,,
2026-09-22,M10,CIPLA,SELL,ENTRY SELL,290,09:20,560,1376.9,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.664,PHA,,,,,,,,,,,,
2026-09-22,M10,COCHINSHIP,BUY,ENTRY BUY,90,09:20,560,1403.6,,,0,0,scanner-table preview (90/290) — no chart label,0.757,1.343,DEF,,,,,,,,,,,,
2026-09-22,M10,COLPAL,SELL,ENTRY SELL,290,09:20,560,1875.0,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.899,FMCG,,,,,,,,,,,,
2026-09-22,M10,CROMPTON,SELL,ENTRY SELL,290,09:20,560,224.27,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.347,CDUR,,,,,,,,,,,,
2026-09-22,M10,DABUR,SELL,ENTRY SELL,290,09:20,560,386.6,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.052,FMCG,,,,,,,,,,,,
2026-09-22,M10,DIXON,SELL,ENTRY SELL,290,09:25,565,13248.0,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.764,CDUR,,,,,,,,,,,,
2026-09-22,M10,EXIDEIND,BUY,ENTRY BUY,90,09:20,560,437.05,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.564,AUTO,,,,,,,,,,,,
2026-09-22,M10,FEDERALBNK,BUY,ENTRY BUY,90,09:25,565,333.95,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.587,BANK,,,,,,,,,,,,
2026-09-22,M10,GRASIM,SELL,ENTRY SELL,290,09:20,560,3159.0,,,0,0,scanner-table preview (90/290) — no chart label,0.757,-0.221,CEMENT,,,,,,,,,,,,
2026-09-22,M10,GVT&D,BUY,ENTRY BUY,90,09:20,560,4503.3,,,0,0,scanner-table preview (90/290) — no chart label,0.757,3.142,CAPGOODS,,,,,,,,,,,,
2026-09-22,M10,HAL,BUY,ENTRY BUY,90,09:20,560,4870.5,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.922,DEF,,,,,,,,,,,,
2026-09-22,M10,HDFCBANK,BUY,ENTRY BUY,90,09:20,560,745.4,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.798,BANK,,,,,,,,,,,,
2026-09-22,M10,HDFCLIFE,BUY,ENTRY BUY,90,09:20,560,564.0,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.822,INSURANCE,,,,,,,,,,,,
2026-09-22,M10,HINDPETRO,BUY,ENTRY BUY,90,09:20,560,360.45,,,0,0,scanner-table preview (90/290) — no chart label,0.757,0.797,OIL,,,,,,,,,,,,
