day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s
2026-09-01,M10,BAJAJ-AUTO,BUY,BUY-EX17,102,09:35,575,12354.0,,BREAKOUT,1,0,,0.752,1.847,AUTO,,,,,,,,-144.0,,-0.19,,OPEN
2026-09-01,M10,DABUR,BUY,BUY-EX6,105,10:20,620,385.45,,BREAKOUT,1,0,,0.752,1.168,FMCG,,,,,,,,-187.0,,-0.32,,OPEN
2026-09-01,M10,EICHERMOT,BUY,BUY-EX5,104,09:50,590,8007.0,,BREAKOUT,1,0,,0.752,0.673,AUTO,,,,,,,,-352.0,,-1.0,,100% SL 12:10
2026-09-01,M10,JSWSTEEL,BUY,BUY-EX17,102,09:30,570,1321.9,,BREAKOUT,1,0,,0.752,1.086,MET,,,,,,,,-391.0,,-1.0,,100% SL 14:00
2026-09-01,M10,NATIONALUM,SELL,SELL-EX19,219,09:45,585,377.75,,BREAKOUT,1,0,,0.752,-0.983,MET,,,,,,,,1023.0,,1.47,,OPEN
2026-09-01,M10,OBEROIRLTY,BUY,BUY-EX6,105,10:25,625,1873.0,,BREAKOUT,1,0,,0.752,0.268,REALTY,,,,,,,,26.0,,0.04,,OPEN
2026-09-01,M10,OIL,BUY,BUY-EX7,106,10:20,620,489.25,,BREAKOUT,1,0,,0.752,1.263,OIL,,,,,,,,143.0,,0.62,,100% trail 14:45
2026-09-01,M10,PERSISTENT,BUY,BUY-EX5,104,10:15,615,5704.5,,BREAKOUT,1,0,,0.752,1.966,IT,,,,,,,,443.0,,0.99,,100% trail 13:50
2026-09-01,M10,SONACOMS,BUY,BUY-EX6,105,10:15,615,813.7,,BREAKOUT,1,0,,0.752,0.08,AUTO,,,,,,,,268.0,,0.65,,100% trail 12:00
2026-09-01,M10,UNOMINDA,BUY,BUY-EX17,102,09:50,590,1288.4,,BREAKOUT,1,0,,0.752,0.972,AUTO,,,,,,,,85.0,,0.27,,100% trail 11:25
2026-09-01,M10,BANKBARODA,BUY,BUY-EX5,104,11:00,660,238.53,,BREAKOUT,1,0,,0.752,-0.029,PSUBK,,,,,,,,130.0,,0.5,,100% trail 13:00
2026-09-01,M10,DLF,BUY,BUY-EX6,105,11:15,675,673.6,,BREAKOUT,1,0,,0.752,-2.525,REALTY,,,,,,,,104.0,,0.37,,OPEN
2026-09-01,M10,EXIDEIND,BUY,BUY-EX7,106,10:45,645,442.4,,BREAKOUT,1,0,,0.752,0.66,AUTO,,,,,,,,-609.0,,-1.0,,100% SL 13:50
2026-09-01,M10,FORTIS,BUY,BUY-EX6,105,10:30,630,913.95,,BREAKOUT,1,0,,0.752,0.777,HOSPITALS,,,,,,,,96.0,,0.11,,OPEN
2026-09-01,M10,GLENMARK,BUY,BUY-EX7,106,11:05,665,2488.8,,BREAKOUT,1,0,,0.752,0.355,PHA,,,,,,,,-298.0,,-1.0,,100% SL 13:35
2026-09-01,M10,HCLTECH,BUY,BUY-EX12,111,10:50,650,1342.5,,CONTINUATION,1,0,,0.752,2.309,IT,,,,,,,,781.0,,1.35,,100% trail 12:55
2026-09-01,M10,INFY,BUY,BUY-EX12,111,10:50,650,1145.0,,CONTINUATION,1,0,,0.752,0.988,IT,,,,,,,,191.0,,0.61,,100% trail 12:55
2026-09-01,M10,KPITTECH,BUY,BUY-EX5,104,10:40,640,593.5,,BREAKOUT,1,0,,0.752,1.453,IT,,,,,,,,-294.0,,-0.46,,OPEN
2026-09-01,M10,MARICO,BUY,BUY-EX7,106,10:55,655,837.85,,BREAKOUT,1,0,,0.752,2.177,FMCG,,,,,,,,3.0,,0.01,,OPEN
2026-09-01,M10,PNB,BUY,BUY-EX5,104,11:05,665,115.33,,BREAKOUT,1,0,,0.752,0.963,PSUBK,,,,,,,,276.0,,1.11,,100% trail 13:05
2026-09-01,M10,RADICO,BUY,BUY-EX5,104,10:35,635,4507.6,,BREAKOUT,1,0,,0.752,0.504,FMCG,,,,,,,,-447.0,,-0.56,,OPEN
