day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-09-25,M10,360ONE,BUY,BUY-EX6,105,09:50,590,1080.0,,BREAKOUT,1,0,,0.438,-0.074,CAPMKTS,,,,,,,,-451.0,,-1.0,,100% SL 13:25,-538,-1.0,100% SL 13:25,0.78,1.46,0.78,0.78,-0.68,0.433,MIXED
2026-09-25,M10,ADANIGREEN,BUY,BUY-EX6,105,10:05,605,1289.9,,BREAKOUT,1,0,,0.438,0.766,GREEN,,,,,,,,182.0,,0.24,,OPEN,152,0.24,OPEN,0.47,0.37,0.35,0.35,0.37,0.433,MIXED
2026-09-25,M10,ADANIPOWER,BUY,BUY-EX5,104,10:10,610,200.04,,BREAKOUT,1,0,,0.438,0.281,ENE,,,,,,,,612.0,,0.68,,OPEN,584,0.68,OPEN,0.88,0.35,0.5,0.67,1.35,0.433,MIXED
2026-09-25,M10,APLAPOLLO,BUY,BUY-EX17,102,09:30,570,2202.5,,BREAKOUT,1,0,,0.438,0.81,MET,,,,,,,,209.0,,0.39,,OPEN,179,0.39,OPEN,0.68,0.74,0.07,0.07,0.43,0.433,MIXED
2026-09-25,M10,ASHOKLEY,BUY,BUY-EX7,106,10:05,605,158.39,,BREAKOUT,1,0,,0.438,0.693,AUTO,,,,,,,,97.0,,0.29,,100% trail 15:10,9,0.29,100% trail 15:10,1.01,0.84,0.03,0.03,0.32,0.433,MIXED
2026-09-25,M10,ASIANPAINT,BUY,BUY-EX17,102,10:00,600,2430.0,,BREAKOUT,1,0,,0.438,1.559,CHEMICALS,,,,,,,,348.0,,0.55,,OPEN,318,0.55,OPEN,0.63,0.37,0.09,0.09,0.72,0.433,MIXED
2026-09-25,M10,AUBANK,BUY,BUY-EX17,102,09:30,570,1010.5,,BREAKOUT,1,0,,0.438,1.04,BANK,,,,,,,,260.0,,0.45,,OPEN,229,0.45,OPEN,0.9,0.44,0.29,0.29,0.52,0.433,MIXED
2026-09-25,M10,AXISBANK,BUY,BUY-EX5,104,10:00,600,1204.3,,BREAKOUT,1,0,,0.438,1.5,BANK,,,,,,,,644.0,,1.52,,OPEN,613,1.52,OPEN,1.95,0.31,0.45,0.45,1.3,0.433,MIXED
2026-09-25,M10,BANDHANBNK,BUY,BUY-EX7,106,09:50,590,184.64,,PULLBACK,1,0,,0.438,0.951,BANK,,,,,,,,-339.0,,-1.0,,100% SL 10:45,-426,-1.0,100% SL 10:45,2.72,1.23,1.21,1.21,1.66,0.433,MIXED
2026-09-25,M10,BDL,BUY,BUY-EX7,106,09:30,570,1164.0,,BREAKOUT,1,0,,0.438,0.779,DEF,,,,,,,,-467.0,,-1.0,,100% SL 10:35,-553,-1.0,100% SL 10:35,0.2,2.31,0.2,0.2,-2.06,0.433,MIXED
