day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s
2026-08-06,M5,BAJFINANCE,BUY,BUY-EX,101,09:45,585,1157.8,,BREAKOUT,1,0,,0.619,9.433,FIN,,,,,,,MIXED/chop,-559.0,,-0.97,,OPEN
2026-08-06,M5,DIVISLAB,BUY,BUY-EX,101,09:50,590,8441.5,,BREAKOUT,1,0,,0.619,7.948,PHA,,,,,,,MIXED/chop,-316.0,,-1.0,,100% SL 12:40
2026-08-06,M5,FORTIS,SELL,NORMAL SELL,280,09:55,595,919.35,,BREAKOUT,1,0,,0.619,-2.971,HOSPITALS,,,,,,,MIXED/chop,-35.0,,-0.14,,OPEN
2026-08-06,M5,HDFCBANK,SELL,SELL-EX3,203,09:30,570,735.9,,BREAKOUT,1,0,,0.619,-2.323,BANK,,,,,,,MIXED/chop,107.0,,0.49,,OPEN
2026-08-06,M5,HYUNDAI,BUY,BUY-EX,101,10:10,610,2206.5,,BREAKOUT,1,0,,0.619,8.146,AUTO,,,,,,,MIXED/chop,438.0,,0.93,,OPEN
2026-08-06,M5,JUBLFOOD,BUY,BUY-EX,101,09:55,595,476.7,,BREAKOUT,1,0,,0.619,8.206,CONSUMPTION,,,,,,,MIXED/chop,-385.0,,-0.55,,OPEN
2026-08-06,M5,LODHA,SELL,SELL-EX3,203,09:30,570,1233.2,,BREAKOUT,1,0,,0.619,-4.258,REALTY,,,,,,,MIXED/chop,340.0,,0.47,,OPEN
2026-08-06,M5,OIL,SELL,SELL-EX3,203,09:40,580,442.65,,BREAKOUT,1,0,,0.619,-3.193,OIL,,,,,,,MIXED/chop,-324.0,,-1.0,,100% SL 14:50
2026-08-06,M5,PAGEIND,SELL,SELL-EX5,205,09:30,570,39985.0,,BREAKOUT,1,0,,0.619,-3.02,CONSUMPTION,,,,,,,MIXED/chop,115.0,,0.52,,100% EOD 15:20
2026-08-06,M5,PAYTM,BUY,BUY-EX,101,09:50,590,1432.8,,BREAKOUT,1,0,,0.619,7.656,NEWAGE,,,,,,,MIXED/chop,378.0,,0.92,,100% trail 12:05
2026-08-06,M5,POWERGRID,SELL,SELL-EX3,203,09:30,570,273.05,,BREAKOUT,1,0,,0.619,-4.31,ENE,,,,,,,MIXED/chop,331.0,,0.37,,100% EOD 15:20
2026-08-06,M5,RECLTD,SELL,SELL-EX3,203,09:30,570,363.85,,BREAKOUT,1,0,,0.619,-2.999,FIN,,,,,,,MIXED/chop,96.0,,0.22,,OPEN
2026-08-06,M5,UPL,SELL,SELL-EX2,202,10:00,600,578.0,,BREAKOUT,1,0,,0.619,-4.09,CHEMICALS,,,,,,,MIXED/chop,297.0,,0.53,,100% EOD 15:20
2026-08-06,M5,ALKEM,SELL,NORMAL SELL,280,10:55,655,5639.5,,BREAKOUT,1,0,,0.619,-3.026,PHA,,,,,,,MIXED/chop,291.0,,0.84,,100% trail 14:55
2026-08-06,M5,KAYNES,BUY,BUY-EX,101,10:30,630,3923.5,,BREAKOUT,1,0,,0.619,8.085,CAPGOODS,,,,,,,MIXED/chop,-415.0,,-1.0,,100% SL 10:50
2026-08-06,M5,KEI,BUY,BUY-EX,101,10:20,620,5540.0,,BREAKOUT,1,0,,0.619,15.465,CAPGOODS,,,,,,,MIXED/chop,-406.0,,-1.0,,100% SL 12:30
2026-08-06,M5,MAXHEALTH,SELL,NORMAL SELL,280,10:50,650,1071.0,,BREAKOUT,1,0,,0.619,-4.715,HOSPITALS,,,,,,,MIXED/chop,51.0,,0.15,,OPEN
2026-08-06,M5,MOTHERSON,BUY,BUY-EX,101,10:35,635,155.89,,BREAKOUT,1,0,,0.619,6.272,AUTO,,,,,,,MIXED/chop,-531.0,,-1.0,,100% SL 11:35
2026-08-06,M5,360ONE,BUY,BUY-EX,101,09:45,585,1194.6,146,,0,0,M5 gate: spurt 146 · movers N — need both,0.619,4.974,CAPMKTS,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,ADANIENT,BUY,BUY-EX17,102,09:45,585,3057.6,155,,0,0,weak EX variant (EX9+) blocked — B2 (GHOST-shadowed EOD),0.619,0.249,INFRA,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,ADANIENT,BUY,BUY-EX7,106,10:10,610,3060.8,155,,0,0,M5 gate: spurt 155 · movers N — need both,0.619,0.354,INFRA,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,ADANIGREEN,BUY,BUY-EX,101,10:10,610,1380.4,117,,0,0,M5 gate: spurt 117 · movers N — need both,0.619,1.642,GREEN,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,APLAPOLLO,BUY,BUY-EX,101,09:30,570,1962.8,36,,0,0,"EX1/EX2 at open blocked — razor class, allowed from 09:45",0.619,3.687,MET,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,APOLLOHOSP,BUY,BUY-EX17,102,09:45,585,8999.0,71,,0,0,weak EX variant (EX9+) blocked — B2 (GHOST-shadowed EOD),0.619,0.446,HOSPITALS,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,AUBANK,BUY,ENTRY BUY,90,09:20,560,1053.8,59,,0,0,"scanner-table preview (90/290) — no chart label, blocked",0.619,2.014,BANK,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,AUBANK,BUY,BUY-EX17,102,09:55,595,1063.5,59,,0,0,weak EX variant (EX9+) blocked — B2 (GHOST-shadowed EOD),0.619,2.953,BANK,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BAJAJ-AUTO,BUY,BUY-EX,101,09:30,570,11758.0,93,,0,0,"EX1/EX2 at open blocked — razor class, allowed from 09:45",0.619,2.735,AUTO,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BAJAJFINSV,BUY,BUY-EX,101,09:30,570,2087.4,139,,0,0,"EX1/EX2 at open blocked — razor class, allowed from 09:45",0.619,9.345,FIN,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BAJAJHLDNG,BUY,BUY-EX,101,09:35,575,11458.0,43,,0,0,"EX1/EX2 at open blocked — razor class, allowed from 09:45",0.619,4.936,FIN,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BANDHANBNK,BUY,ENTRY BUY,90,09:20,560,176.4,30,,0,0,"scanner-table preview (90/290) — no chart label, blocked",0.619,2.054,BANK,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BANKBARODA,BUY,BUY-EX,101,09:35,575,247.29,114,,0,0,"EX1/EX2 at open blocked — razor class, allowed from 09:45",0.619,2.207,PSUBK,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BDL,BUY,ENTRY BUY,90,09:20,560,1253.2,16,,0,0,"scanner-table preview (90/290) — no chart label, blocked",0.619,0.497,DEF,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BDL,BUY,BUY-EX,101,09:50,590,1269.4,16,,0,0,M5 gate: spurt 16 · movers N — need both,0.619,1.796,DEF,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BEL,BUY,ENTRY BUY,90,09:20,560,392.25,203,,0,0,"scanner-table preview (90/290) — no chart label, blocked",0.619,1.883,DEF,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BEL,BUY,BUY-EX17,102,09:40,580,393.8,203,,0,0,weak EX variant (EX9+) blocked — B2 (GHOST-shadowed EOD),0.619,2.286,DEF,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BHARATFORG,BUY,BUY-EX,101,09:40,580,2200.1,23,,0,0,"EX1/EX2 at open blocked — razor class, allowed from 09:45",0.619,1.523,AUTO,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BHARTIARTL,BUY,ENTRY BUY,90,09:25,565,1965.2,192,,0,0,"scanner-table preview (90/290) — no chart label, blocked",0.619,0.956,TELECOM,,,,,,,MIXED/chop,,,,,
2026-08-06,M5,BHEL,BUY,ENTRY BUY,90,09:20,560,408.0,77,,0,0,"scanner-table preview (90/290) — no chart label, blocked",0.619,0.928,CAPGOODS,,,,,,,MIXED/chop,,,,,
