day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s
2026-09-17,M1,MAZDOCK,SELL,SELL-EX1,201,10:20,620,2205.2,3.0,BREAKOUT,1,0,,0.248,-1.196,DEF,,,,,,,,4.0,,0.01,,OPEN
2026-09-17,M1,PNBHOUSING,BUY,BUY-EX4,103,10:10,610,1143.1,5.0,BREAKOUT,1,0,,0.248,0.802,FIN,,,,,,,,-840.0,,-1.0,,100% SL 10:30
2026-09-17,M1,WAAREEENER,BUY,BUY-EX5,104,10:05,605,2514.2,22.0,BREAKOUT,1,0,,0.248,0.528,GREEN,,,,,,,,-355.0,,-1.0,,100% SL 11:00
2026-09-17,M1,PNBHOUSING,SELL,SELL-EX2,202,10:30,630,1118.9,4.0,BREAKOUT,1,0,,0.248,-1.332,FIN,,,,,,,,297.0,,0.34,,OPEN
2026-09-17,M1,360ONE,BUY,ENTRY BUY,90,09:20,560,1049.8,181.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.248,0.402,CAPMKTS,,,,,,,,,,,,
2026-09-17,M1,ABB,BUY,ENTRY BUY,90,09:20,560,7017.0,152.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.248,0.53,CAPGOODS,,,,,,,,,,,,
2026-09-17,M1,ABCAPITAL,BUY,ENTRY BUY,90,09:25,565,385.25,193.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.248,1.036,FIN,,,,,,,,,,,,
2026-09-17,M1,ADANIENSOL,SELL,ENTRY SELL,290,09:25,565,1345.2,84.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.248,-0.296,ENE,,,,,,,,,,,,
2026-09-17,M1,AMBUJACEM,BUY,ENTRY BUY,90,09:20,560,384.85,173.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.248,0.997,CEMENT,,,,,,,,,,,,
2026-09-17,M1,ANGELONE,BUY,ENTRY BUY,90,09:25,565,295.65,130.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.248,0.733,CAPMKTS,,,,,,,,,,,,
