day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard
2026-07-31,M9A,AADHARHFC,BUY,ENTRY BUY,90,09:20,560,498.4,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-0.12,,,,,,,,,,,,,,A
2026-07-31,M9A,ADVAIT,BUY,ENTRY BUY,90,09:20,560,2209.4,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.675,,,,,,,,,,,,,,A
2026-07-31,M9A,AEGISVOPAK,SELL,ENTRY SELL,290,09:20,560,288.52,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-1.192,,,,,,,,,,,,,,A
2026-07-31,M9A,AFCONS,SELL,ENTRY SELL,290,09:25,565,270.5,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-0.988,,,,,,,,,,,,,,A
2026-07-31,M9A,APTUS,BUY,ENTRY BUY,90,09:20,560,282.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.622,,,,,,,,,,,,,,A
2026-07-31,M9A,ASHIANA,BUY,ENTRY BUY,90,09:25,565,388.25,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-0.449,,,,,,,,,,,,,,A
2026-07-31,M9A,ATUL,BUY,ENTRY BUY,90,09:20,560,6850.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.44,,,,,,,,,,,,,,A
2026-07-31,M9A,AVADHSUGAR,SELL,ENTRY SELL,290,09:20,560,509.45,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.088,,,,,,,,,,,,,,A
2026-07-31,M9A,AVANTIFEED,SELL,ENTRY SELL,290,09:20,560,918.6,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-1.226,,,,,,,,,,,,,,A
2026-07-31,M9A,AXISCADES,BUY,ENTRY BUY,90,09:20,560,1555.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,2.041,,,,,,,,,,,,,,A
2026-07-31,M9A,BAJAJCON,SELL,ENTRY SELL,290,09:20,560,533.95,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-1.667,,,,,,,,,,,,,,A
2026-07-31,M9A,BALKRISIND,BUY,ENTRY BUY,90,09:20,560,2377.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,2.895,,,,,,,,,,,,,,A
2026-07-31,M9A,BALUFORGE,BUY,ENTRY BUY,90,09:25,565,436.75,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.053,,,,,,,,,,,,,,A
2026-07-31,M9A,BAYERCROP,SELL,ENTRY SELL,290,09:25,565,4218.7,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-0.194,,,,,,,,,,,,,,A
2026-07-31,M9A,BELRISE,BUY,ENTRY BUY,90,09:25,565,236.77,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.889,,,,,,,,,,,,,,A
2026-07-31,M9A,BFUTILITIE,BUY,ENTRY BUY,90,09:20,560,564.35,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.714,,,,,,,,,,,,,,A
2026-07-31,M9A,BLSE,BUY,ENTRY BUY,90,09:20,560,296.82,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.453,,,,,,,,,,,,,,A
2026-07-31,M9A,BLUESTONE,BUY,ENTRY BUY,90,09:20,560,766.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.525,,,,,,,,,,,,,,A
2026-07-31,M9A,CAMLINFINE,BUY,ENTRY BUY,90,09:20,560,126.6,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.556,,,,,,,,,,,,,,A
2026-07-31,M9A,CANTABIL,BUY,ENTRY BUY,90,09:25,565,242.28,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.116,,,,,,,,,,,,,,A
2026-07-31,M9A,CAPITALSFB,SELL,ENTRY SELL,290,09:20,560,290.05,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-2.01,,,,,,,,,,,,,,A
2026-07-31,M9A,CARERATING,BUY,ENTRY BUY,90,09:20,560,1714.6,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.492,,,,,,,,,,,,,,A
2026-07-31,M9A,CCL,SELL,ENTRY SELL,290,09:25,565,1174.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.239,,,,,,,,,,,,,,A
2026-07-31,M9A,CEINSYS,BUY,ENTRY BUY,90,09:20,560,842.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.358,,,,,,,,,,,,,,A
2026-07-31,M9A,CENTENKA,SELL,ENTRY SELL,290,09:25,565,603.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-0.166,,,,,,,,,,,,,,A
2026-07-31,M9A,COSMOFIRST,BUY,ENTRY BUY,90,09:20,560,892.7,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.443,,,,,,,,,,,,,,A
2026-07-31,M9A,CRAMC,BUY,ENTRY BUY,90,09:20,560,261.55,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.592,,,,,,,,,,,,,,A
2026-07-31,M9A,CUPID,BUY,ENTRY BUY,90,09:25,565,234.03,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.752,,,,,,,,,,,,,,A
2026-07-31,M9A,DAMCAPITAL,BUY,ENTRY BUY,90,09:20,560,153.25,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.625,,,,,,,,,,,,,,A
2026-07-31,M9A,DCXINDIA,BUY,ENTRY BUY,90,09:20,560,179.42,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.634,,,,,,,,,,,,,,A
2026-07-31,M9A,DEN,BUY,ENTRY BUY,90,09:25,565,27.55,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-0.181,,,,,,,,,,,,,,A
2026-07-31,M9A,DYNAMATECH,BUY,ENTRY BUY,90,09:20,560,10416.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.136,,,,,,,,,,,,,,A
2026-07-31,M9A,EIEL,BUY,ENTRY BUY,90,09:20,560,216.57,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.481,,,,,,,,,,,,,,A
2026-07-31,M9A,EKC,BUY,ENTRY BUY,90,09:20,560,105.71,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,0.772,,,,,,,,,,,,,,A
2026-07-31,M9A,ELLEN,SELL,ENTRY SELL,290,09:20,560,254.85,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,-1.393,,,,,,,,,,,,,,A
2026-07-31,M9A,EMMVEE,BUY,ENTRY BUY,90,09:20,560,311.45,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.4,1.055,,,,,,,,,,,,,,A
